asset,horizon,model,condition,n,accuracy,pt_stat,pt_p,pt_hit_rate,pt_n,brier,n_trades,turnover,sharpe,sortino,max_drawdown,cagr,final_equity,bh_sharpe,bh_cagr,bh_final_equity,pt_p_fdr
BTC,daily,baseline_buy_hold,news_only,203,0.2561576354679803,,,0.46846846846846846,111,0.7469211822660099,202,0.0049504950495049506,-0.8580241002286186,-0.8563853954465462,-0.39532095233321174,-0.3490161169775572,0.7160680615379502,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,
BTC,daily,baseline_random,news_only,203,0.2955665024630542,-0.7184124199652522,0.7637484844768317,0.484375,64,0.66691311494292,202,0.8217821782178217,-1.3547508324946296,-1.3416014298237904,-0.43047605401765743,-0.4097209187523094,0.6567362904835861,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,0.9359344667291575
BTC,daily,baseline_momentum,news_only,203,0.2413793103448276,-1.2867083305911107,0.9009020158184746,0.44144144144144143,111,0.845080792335021,202,0.8762376237623762,-3.2101030794777192,-2.740176864451468,-0.6739247998595317,-0.7435291918997791,0.34063685830667867,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,0.9359344667291575
BTC,daily,baseline_sentiment,news_only,203,0.24630541871921183,-1.5101678416387387,0.934499698929154,0.4380952380952381,105,0.8005924511976558,202,0.04455445544554455,-2.198944302258386,-1.9546805988904963,-0.5397848444206085,-0.6040797500129542,0.47757793007695826,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,0.9359344667291575
BTC,daily,claude_opus:P0,news_only,203,0.2955665024630542,0.27445123639284036,0.3918689365066606,0.5315315315315315,111,0.6987133004926124,202,0.41089108910891087,0.3161580457266106,0.3230129088755862,-0.4249552620411885,0.06416568128740319,1.038823752406468,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,0.9359344667291575
BTC,daily,claude_opus:P1,news_only,203,0.30049261083743845,0.3698658326490201,0.35574123026108917,0.5315315315315315,111,0.7065422052545245,202,0.4306930693069307,0.28312989292169854,0.2859992850324368,-0.27822369667557334,0.04959012038752375,1.0274590453714818,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,0.9359344667291575
BTC,daily,claude_opus:P2,news_only,203,0.29064039408866993,0.25458180491378946,0.39952305690789497,0.5272727272727272,110,0.6977389162561597,202,0.28217821782178215,-0.20357195194176264,-0.20059587679883,-0.34904910766246544,-0.13468633882164993,0.88082009589346,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,0.9359344667291575
BTC,daily,claude_opus:P3,news_only,203,0.27586206896551724,-1.0240227147328727,0.8470877268978001,0.49038461538461536,104,0.7605891625615756,202,0.36633663366336633,0.46292141796452074,0.4833866626981513,-0.37534912475020843,0.12767358872786683,1.0879808732099272,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,0.9359344667291575
ETH,daily,baseline_always_up,news_only,203,0.23645320197044334,,,0.43636363636363634,110,0.7567733990147784,202,0.0049504950495049506,-0.9291175887376782,-0.9042785231066552,-0.5326744005818325,-0.47391809761415316,0.6015817172669093,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,
ETH,daily,baseline_buy_hold,news_only,203,0.23645320197044334,,,0.43636363636363634,110,0.7567733990147784,202,0.0049504950495049506,-0.9291175887376782,-0.9042785231066552,-0.5326744005818325,-0.47391809761415316,0.6015817172669093,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,
ETH,daily,baseline_random,news_only,203,0.33004926108374383,-0.1657509794487406,0.5658235374497528,0.5,52,0.6672825582930504,202,0.7623762376237624,-1.7746614285050621,-1.6723806869697253,-0.5266810723673968,-0.5809558488017611,0.49969753625267915,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,0.9359344667291575
ETH,daily,baseline_momentum,news_only,203,0.2512315270935961,-0.723860420025813,0.7654242843459051,0.4636363636363636,110,0.8819190100098656,202,0.9356435643564357,-2.709588428242754,-2.4911562225598938,-0.733228672326192,-0.7968154562818408,0.2816749297074168,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,0.9359344667291575
ETH,daily,baseline_sentiment,news_only,203,0.23645320197044334,,,0.43636363636363634,110,0.9643089619774358,202,0.0049504950495049506,-0.9291175887376782,-0.9042785231066552,-0.5326744005818325,-0.47391809761415316,0.6015817172669093,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,
ETH,daily,claude_opus:P0,news_only,203,0.29064039408866993,-0.13751314485336522,0.5546873983216761,0.5370370370370371,108,0.7032975369458144,202,0.4306930693069307,0.08269749166201323,0.0864838283653152,-0.3914034235368249,-0.09731821737851643,0.9253827358727691,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,0.9359344667291575
ETH,daily,claude_opus:P1,news_only,203,0.270935960591133,-1.3407057867290775,0.9099920024910384,0.4818181818181818,110,0.719649261083746,202,0.4207920792079208,0.6965145058072119,0.7291841927349905,-0.23287999758422728,0.2595065972873418,1.202047929836906,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,0.9359344667291575
ETH,daily,claude_opus:P2,news_only,203,0.29064039408866993,-0.2198463667091447,0.5870045962564688,0.5462962962962963,108,0.7003635467980309,202,0.3811881188118812,0.09956229383356927,0.10097230424840702,-0.2990546270191995,-0.08690892931951755,0.933884293904725,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,0.9359344667291575
ETH,daily,claude_opus:P3,news_only,203,0.2512315270935961,-1.439789665470113,0.9250365420441955,0.46078431372549017,102,0.7700847290640411,202,0.3118811881188119,0.344026049759849,0.3506630212451541,-0.25493496513746294,0.041921069810548106,1.037559887378399,-0.9219808690586716,-0.4729315254664309,0.6033813968808257,0.9359344667291575
